x, y, mae, val
0, 0, 0.20, 0.20us
1, 0, 0.66, 0.66us
2, 0, 4.07, 4.07us
0, 1, 0.20, 0.20us
1, 1, 0.60, 0.60us
2, 1, 5.21, 5.21us
0, 2, 0.21, 0.21us
1, 2, 0.53, 0.53us
2, 2, 4.34, 4.34us
0, 3, 0.15, 0.15us
1, 3, 0.56, 0.56us
2, 3, 2.66, 2.66us
0, 4, 0.16, 0.16us
1, 4, 0.65, 0.65us
2, 4, 5.92, 5.92us
0, 5, 0.26, 0.26us
1, 5, 0.64, 0.64us
2, 5, 2.90, 2.90us
0, 6, 0.24, 0.24us
1, 6, 0.81, 0.81us
2, 6, 4.99, 4.99us
0, 7, 0.22, 0.22us
1, 7, 0.57, 0.57us
2, 7, 1.99, 1.99us
0, 8, 0.17, 0.17us
1, 8, 0.64, 0.64us
2, 8, 2.80, 2.80us
0, 9, 0.21, 0.21us
1, 9, 0.75, 0.75us
2, 9, 5.56, 5.56us
0, 10, 0.15, 0.15us
1, 10, 0.69, 0.69us
2, 10, 3.17, 3.17us
